ID,species,year,month,sex,SL,mass,alleles,genotype,Gen_freq_all,Gen_freq_species,avg_freq_species,avg_freq_all,freq_rare_species,freq_rare_all,phenotype,num_supertype,supertype,freq_super_species,freq_super_all,gill,acantho,,,
GSF2679-G4-EFCC10_08022020,fantail,2020,August,M,40.5,0.84,4,004/005/006/124,0.006,0.009,,,,,,3,2/3/4,,,3,0,,,
GSF2679-H4-EFCC11_08022020,fantail,2020,August,,36.4,0.50,1,030,0.009,0.009,,,,,,1,1,,,2,0,,,
GSF2679-A5-EFCC12_08022020,fantail,2020,August,,31.0,0.39,4,001/026/027/124,0.003,0.009,,,,,,3,1/3/4,,,0,0,,,
GSF2679-C10-EFCC22_03162020,fantail,2020,March,F,34.46,0.53,2,050/100,0.003,0.009,,,,,,2,1/3,,,0,0,,,
ESPCC10_10132018,orangethroat,2018,October,,,0.74,2,001/007,0.009,0.049,,,,,,1,4,,,0,,,,
ESPCC12_10132018,orangethroat,2018,October,,,0.89,3,001/012/032,0.003,0.016,,,,,,2,3/4,,,0,,,,
ESPCC13_10132018,orangethroat,2018,October,,,0.82,1,033,0.006,0.033,,,,,,1,1,,,0,,,,
ESPCC15_10132018,orangethroat,2018,October,,,0.45,2,001/033,0.003,0.016,,,,,,1,1/4,,,0,,,,
ESPCC16_10132018,orangethroat,2018,October,,,0.55,2,001/007,0.009,0.049,,,,,,1,4,,,0,,,,
ESPCC17_10132018,orangethroat,2018,October,,,0.63,2,001/007,0.009,0.049,,,,,,1,4,,,0,,,,
ESPCC18_10132018,orangethroat,2018,October,,,0.66,1,034,0.003,0.016,,,,,,1,3,,,0,,,,
ESPCC19_10132018,orangethroat,2018,October,,,0.53,4,001/012/057/123,0.003,0.016,,,,,,3,2/3/4,,,0,,,,
ESPCC1_10132018,orangethroat,2018,October,,,0.59,1,124,0.060,0.016,,,,,,1,3,,,,,,,
ESPCC21_10132018,orangethroat,2018,October,,,,3,035/036/057,0.003,0.016,,,,,,2,2/3,,,,,,,
ESPCC2_10132018,orangethroat,2018,October,,,0.75,2,007/037,0.006,0.033,,,,,,1,4,,,0,,,,
